variable,tipo,psi,ks_statistic,ks_pvalue,drift_detected
mes_prestamo,numerica,2.578,0.6922,0.0,True
trimestre_prestamo,numerica,0.7248,0.6922,0.0,True
promedio_ingresos_datacredito,numerica,0.3216,0.233,0.0,True
total_otros_prestamos,numerica,0.2221,0.1539,0.0,False
plazo_meses,numerica,0.1087,0.1584,0.0,False
salario_cliente,numerica,0.1073,0.0949,0.0,False
cuota_sobre_salario,numerica,0.0949,0.1271,0.0,False
cuota_pactada,numerica,0.0723,0.1179,0.0,False
capital_sobre_salario,numerica,0.063,0.0913,0.0,False
capital_prestado,numerica,0.0541,0.0889,0.0,False
tendencia_ingresos,categorica,0.0231,,,False
puntaje,numerica,0.0161,0.0623,0.0,False
dia_semana_prestamo,numerica,0.016,0.0387,0.0112,False
edad_cliente,numerica,0.0153,0.0494,0.0004,False
tipo_credito,categorica,0.0124,,,False
puntaje_datacredito,numerica,0.0102,0.0266,0.1717,False
saldo_total,numerica,0.0077,0.013,0.9329,False
saldo_sobre_capital,numerica,0.0076,0.0324,0.0548,False
saldo_principal,numerica,0.0063,0.0145,0.8732,False
creditos_sectorCooperativo,numerica,0.0051,0.0284,0.1212,False
cant_creditosvigentes,numerica,0.0051,0.0141,0.8761,False
tipo_laboral,categorica,0.0049,,,False
total_creditos_reportados,numerica,0.0045,0.0133,0.9177,False
huella_consulta,numerica,0.0043,0.0175,0.6595,False
creditos_sectorReal,numerica,0.0012,0.012,0.9623,False
creditos_sectorFinanciero,numerica,0.0011,0.0082,0.9998,False
saldo_mora_codeudor,numerica,0.0,0.0004,1.0,False
saldo_mora,numerica,0.0,0.0047,1.0,False
anio_prestamo,numerica,0.0,0.1628,0.0,False
mora_sobre_saldo,numerica,0.0,0.0051,1.0,False
tiene_mora,numerica,0.0,0.0046,1.0,False
tiene_codeudor_en_mora,numerica,0.0,0.0003,1.0,False
